name,kepulauan_id
Aceh ,1
Sumatra Utara ,1
Sumatra Barat ,1
Riau ,1
Kepulauan Riau ,1
Jambi ,1
Bengkulu ,1
Sumatra Selatan ,1
Kepulauan Bangka Belitung ,1
Lampung ,1
Banten ,2
Jawa Barat ,2
DKI Jakarta ,2
Jawa Tengah ,2
DI Yogyakarta ,2
Jawa Timur ,2
Bali ,3
Nusa Tenggara Barat ,3
Nusa Tenggara Timur ,3
Kalimantan Barat ,4
Kalimantan Selatan ,4
Kalimantan Tengah ,4
Kalimantan Timur ,4
Kalimantan Utara ,4
Gorontalo ,5
Sulawesi Barat ,5
Sulawesi Selatan ,5
Sulawesi Tenggara ,5
Sulawesi Tengah ,5
Sulawesi Utara ,5
Maluku ,6
Maluku Utara ,6
Papua ,7
Papua Barat ,7
Papua Pegunungan ,7
Papua Selatan ,7
Papua Tengah ,7
